date,title,type,url
2026-07-23,7/23(목) 정기점검 업데이트,patch,https://df.nexon.com/community/news/update/list
2026-07-29,7/29(수) 퍼스트 서버 업데이트,patch,https://df.nexon.com/community/news/update/list
2026-07-30,7/30(목) 정기점검 업데이트,patch,https://df.nexon.com/community/news/update/list
2026-07-30,던파 X 넥슨 현대카드 Ed.2 혜택 RUSH (~9/17),event,https://df.nexon.com/community/news/event/list
2026-08-06,21주년 모험가님 감사합니다! (~9/10),event,https://df.nexon.com/community/news/event/list
2026-08-06,21st Anniversary 이벤트 (~9/3),event,https://df.nexon.com/community/news/event/list
2026-08-13,8/13(목) 정기점검 업데이트 (미카엘라 업데이트),patch,https://df.nexon.com/community/news/notice/2928227
2026-08-13,아라드 패스 2026 시즌4 (~10/22),event,https://df.nexon.com/community/news/event/list
2026-08-13,엘리브의 해저 탐험왕 (~9/3),event,https://df.nexon.com/community/news/event/list
2026-08-17,8/17(월) 접속 장애 현상,notice,https://df.nexon.com/community/news/notice/2928269
2026-08-18,세리아 특별 상점 물품 추가 판매,notice,https://df.nexon.com/community/news/notice/2928281
2026-08-20,8/20(목) 정기점검 업데이트,patch,https://df.nexon.com/community/news/notice/2928278
2026-08-20,2026 서부의 보안관 아바타 콤보 상자 (~11/12),event,https://df.nexon.com/community/news/event/list
